timestamp,temperature[degC],humidity[%],no2[ppb],co[ppm],no2[V],co[V],latitude[deg],longitude[deg],altitude[m]
10/8/2016 12:53,26.65,46.2,88.65,8.65,-0.82774,-1.98386,---,---,---
10/8/2016 12:53,26.64,46.22,93.83,8.26,-0.82781,-1.98444,---,---,---
10/8/2016 12:53,26.63,46.23,93.92,8.18,-0.82781,-1.98458,---,---,---
10/8/2016 12:53,26.61,46.25,95.87,8.91,-0.82784,-1.9835,---,---,---
10/8/2016 12:54,26.6,46.26,95.59,8.56,-0.82783,-1.98403,---,---,---
10/8/2016 12:54,26.59,46.28,90.44,8.53,-0.82775,-1.9841,---,---,---
10/8/2016 12:54,26.58,46.29,86.52,8.35,-0.82769,-1.98437,---,---,---
10/8/2016 12:54,26.56,46.31,76.84,8.62,-0.82755,-1.984,---,---,---
10/8/2016 12:54,26.55,46.33,76.81,8.94,-0.82755,-1.98353,---,---,---
10/8/2016 12:54,26.54,46.34,76.87,8.9,-0.82754,-1.98361,---,---,---
10/8/2016 12:54,26.53,46.35,---,---,---,---,---,---,---
10/8/2016 12:54,26.51,46.37,72.82,7.96,-0.82748,-1.98501,---,---,---
10/8/2016 12:54,26.5,46.38,73.44,7.76,-0.82749,-1.98533,---,---,---
10/8/2016 12:54,26.49,46.39,65.56,7.6,-0.82737,-1.98557,---,---,---
10/8/2016 12:54,26.48,46.41,62.96,7.54,-0.82733,-1.98568,---,---,---
10/8/2016 12:54,26.47,46.42,69.03,7.43,-0.82742,-1.98585,---,---,---
10/8/2016 12:55,26.46,46.44,70.47,7.11,-0.82744,-1.98633,---,---,---
10/8/2016 12:55,26.44,46.45,63,6.85,-0.82733,-1.98673,---,---,---
10/8/2016 12:55,26.43,46.46,59.8,7.09,-0.82728,-1.98638,---,---,---
10/8/2016 12:55,26.42,46.47,58.19,7.4,-0.82725,-1.98593,---,---,---
10/8/2016 12:55,26.41,46.48,62.75,6.85,-0.82732,-1.98675,---,---,---
10/8/2016 12:55,26.4,46.49,66.24,7.63,-0.82737,-1.98563,---,---,---
10/8/2016 12:55,26.39,46.5,64.05,8.13,-0.82734,-1.9849,---,---,---
10/8/2016 12:55,26.38,46.51,58.77,7.47,-0.82726,-1.98589,---,---,---
10/8/2016 12:55,26.37,46.54,62.19,6.18,-0.82731,-1.98779,---,---,---
10/8/2016 12:55,26.36,46.57,60.64,6.5,-0.82728,-1.98734,---,---,---
10/8/2016 12:55,26.35,46.6,57.94,6.33,-0.82724,-1.98759,---,---,---
10/8/2016 12:55,26.34,46.64,64.53,6.57,-0.82734,-1.98724,---,---,---
10/8/2016 12:56,26.33,46.68,53.22,6.24,-0.82717,-1.98774,---,---,---
10/8/2016 12:56,26.32,46.73,51.98,5.89,-0.82715,-1.98827,---,---,---
10/8/2016 12:56,26.31,46.77,50.5,6.22,-0.82713,-1.9878,---,---,---
10/8/2016 12:56,26.3,46.81,51.93,5.54,-0.82715,-1.98881,---,---,---
10/8/2016 12:56,26.29,46.85,47.89,5.75,-0.82709,-1.98851,---,---,---
10/8/2016 12:56,26.28,46.88,46.33,6.55,-0.82706,-1.98734,---,---,---
10/8/2016 12:56,26.26,46.92,43.52,7.1,-0.82702,-1.98654,---,---,---
10/8/2016 12:56,---,46.95,50.87,7.49,-0.82713,-1.98597,---,---,---
10/8/2016 12:56,26.26,46.99,49.15,6.77,-0.8271,-1.98705,---,---,---
10/8/2016 12:56,26.24,47.05,50.8,6.7,-0.82712,-1.98716,---,---,---
10/8/2016 12:56,26.23,47.19,59.78,7.07,-0.82725,-1.98662,---,---,---
10/8/2016 12:56,26.22,47.38,68.81,7.11,-0.82739,-1.98658,---,---,---
10/8/2016 12:57,---,---,68.14,6.63,-0.82737,-1.98728,---,---,---
10/8/2016 12:57,26.21,47.43,72.38,5.78,-0.82744,-1.98854,---,---,---
10/8/2016 12:57,26.19,---,71.01,5.61,-0.82741,-1.98881,---,---,---
10/8/2016 12:57,26.18,47.49,75.59,6.14,-0.82748,-1.98804,---,---,---
10/8/2016 12:57,26.18,47.52,69.46,5.83,-0.82739,-1.9885,---,---,---
10/8/2016 12:57,26.17,47.54,70.64,5.75,-0.82741,-1.98863,---,---,---
10/8/2016 12:57,26.16,47.57,75.06,6.06,-0.82747,-1.98818,---,---,---
10/8/2016 12:57,26.15,47.59,68.89,6.01,-0.82738,-1.98827,---,---,---
10/8/2016 12:57,26.14,47.64,68.4,5.9,-0.82737,-1.98844,---,---,---
10/8/2016 12:57,---,---,71.97,5.69,-0.82742,-1.98875,---,---,---
10/8/2016 12:57,26.13,47.67,73.62,5.51,-0.82744,-1.98904,---,---,---
10/8/2016 12:57,26.11,47.74,71.24,5.25,-0.82741,-1.98943,---,---,---
10/8/2016 12:58,26.1,47.82,66.78,5.49,-0.82734,-1.98908,---,---,---
10/8/2016 12:58,---,---,---,4.8,---,-1.99011,---,---,---
10/8/2016 12:58,26.09,47.86,67.01,---,-0.82734,---,---,---,---
10/8/2016 12:58,26.08,---,---,5.04,---,-1.98977,---,---,---
10/8/2016 12:58,26.07,47.88,69.34,5.39,-0.82737,-1.98926,---,---,---
10/8/2016 12:58,26.06,47.92,70.27,5.46,-0.82738,-1.98917,---,---,---
10/8/2016 12:58,26.05,47.93,61.83,---,-0.82726,---,---,---,---
10/8/2016 12:58,26.04,47.92,70.21,5.36,-0.82738,-1.98934,---,---,---
10/8/2016 12:58,26.03,47.92,73.77,6.77,-0.82743,-1.98728,---,---,---
10/8/2016 12:58,26.03,47.92,73.73,6.84,-0.82743,-1.98718,---,---,---
10/8/2016 12:58,26.02,47.94,76.42,6.73,-0.82747,-1.98735,---,---,---
10/8/2016 12:58,26.01,47.96,75.95,6.67,-0.82746,-1.98745,---,---,---
10/8/2016 12:59,26,47.99,80.01,6.4,-0.82752,-1.98787,---,---,---
10/8/2016 12:59,25.99,48.03,79.32,6.4,-0.82751,-1.98787,---,---,---
10/8/2016 12:59,25.98,48.08,77.59,5.6,-0.82748,-1.98905,---,---,---
10/8/2016 12:59,25.98,48.12,82.38,6.09,-0.82755,-1.98834,---,---,---
10/8/2016 12:59,25.97,48.13,85.61,6.09,-0.8276,-1.98835,---,---,---
10/8/2016 12:59,25.96,48.07,81.42,5.88,-0.82753,-1.98866,---,---,---
10/8/2016 12:59,25.95,48.02,79.33,5.42,-0.8275,-1.98936,---,---,---
10/8/2016 12:59,25.94,48.02,75.68,5.08,-0.82745,-1.98986,---,---,---
10/8/2016 12:59,25.93,48.04,77.21,5.4,-0.82747,-1.9894,---,---,---
10/8/2016 12:59,25.93,48.07,80.48,5.1,-0.82752,-1.98985,---,---,---
10/8/2016 12:59,25.92,48.1,79.7,5.19,-0.8275,-1.98972,---,---,---
10/8/2016 12:59,25.91,48.14,86.95,5.09,-0.82761,-1.98988,---,---,---
10/8/2016 13:00,25.91,48.17,88.35,5.73,-0.82763,-1.98894,---,---,---
10/8/2016 13:00,25.9,48.2,84.29,5.94,-0.82757,-1.98864,---,---,---
10/8/2016 13:00,25.89,48.23,86.21,---,-0.8276,---,---,---,---
10/8/2016 13:00,25.88,48.28,84.11,5.28,-0.82756,-1.98963,---,---,---
10/8/2016 13:00,25.88,48.33,83.25,5.49,-0.82755,-1.98933,---,---,---
10/8/2016 13:00,25.87,48.38,88.29,5.55,-0.82762,-1.98925,---,---,---
10/8/2016 13:00,25.86,48.42,90.59,5.85,-0.82766,-1.98882,---,---,---
10/8/2016 13:00,25.85,48.45,84.45,5.05,-0.82756,-1.99001,---,---,---
10/8/2016 13:00,25.85,48.48,85.96,5.38,-0.82759,-1.98952,---,---,---
10/8/2016 13:00,25.84,48.51,---,---,---,---,---,---,---
10/8/2016 13:00,25.83,48.54,86.66,5.12,-0.8276,-1.98992,---,---,---
10/8/2016 13:00,25.82,48.58,84.99,5.06,-0.82757,-1.99001,---,---,---
10/8/2016 13:01,25.82,48.63,86.34,5.28,-0.82759,-1.98969,---,---,---
10/8/2016 13:01,25.81,48.67,78.62,5.07,-0.82747,-1.99002,---,---,---
10/8/2016 13:01,25.8,48.73,79.82,5.21,-0.82749,-1.98982,---,---,---
10/8/2016 13:01,25.8,48.78,79.47,4.6,-0.82748,-1.99073,---,---,---
10/8/2016 13:01,25.79,48.84,79.41,3.98,-0.82748,-1.99165,---,---,---
10/8/2016 13:01,25.78,48.89,79.45,4.01,-0.82748,-1.99161,---,---,---
10/8/2016 13:01,25.77,48.93,75.98,4.12,-0.82743,-1.99146,---,---,---
10/8/2016 13:01,25.77,48.95,79.22,4.11,-0.82748,-1.99148,---,---,---
10/8/2016 13:01,25.76,48.98,77.54,3.76,-0.82745,-1.99201,---,---,---
10/8/2016 13:01,25.75,49,82.88,3.2,-0.82753,-1.99283,---,---,---
10/8/2016 13:01,25.74,49.02,81.75,3.51,-0.82751,-1.99238,---,---,---
10/8/2016 13:01,25.73,49.03,77.75,3.26,-0.82745,-1.99275,---,---,---
10/8/2016 13:02,25.73,49.05,79.19,3.88,-0.82747,-1.99186,---,---,---
