Lat,Lon,featureNam,pcode,featureRef,popPlaceCl,popPlace_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod,date,validOn,validTo
31.74516211,35.3182354,Al Muntar,PS01999952,Al Muntar,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.36441051,35.11367934,A Seefer,PS01999951,A Seefer,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.8024978,35.31403723,Bir al Maskoob A,PS01999949,Bir al Maskoob A,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.80261783,35.30884219,Bir al Maskoob B,PS01999947,Bir al Maskoob B,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.80212774,35.30581648,Wadi Sneysel,PS01999948,Wadi Sneysel,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.80691864,35.30882736,Abu George Road Bedouins - Kassara,PS01999965,Abu George Road Bedouins - Kassara,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.42928325,35.24399526,Khashem ad Daraj,PS01503126,Khashem ad Daraj,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.36725578,35.00849039,Wedadie,PS01999945,Wedadie,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.80637821,35.39502037,Sateh al Bahr,PS01999943,Sateh al Bahr,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.81634821,35.37534055,Al Hathroura,PS01999941,Al Hathroura,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
32.42644791,35.14023044,Khirbet al-Mkahhal,PS01999815,Khirbet al-Mkahhal,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
32.41887873,35.12789168,Khirbet    al-Hamaam,PS01999814,Khirbet    al-Hamaam,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
31.88755887,35.321645,Maghayer ad Deir,PS01999968,Maghayer ad Deir,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.66982337,35.28446557,Zatara al Kurshan,PS01999939,Zatara al Kurshan,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.42401446,35.15183329,Al Jwaya,PS01999938,Al Jwaya,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
